No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
239);116.453;0;0165;8;B3;B7;80;00;00;00;0B;8F
240);116.637;0;02B0;5;2B;00;00;07;5B;-1;-1;-1
241);116.868;0;0316;8;05;1A;C8;09;1B;17;00;7F
242);117.100;0;02A0;8;02;00;87;9D;C0;2E;36;0C
243);117.336;0;0080;8;00;17;C8;09;1A;17;1B;48
244);117.574;0;0081;8;80;84;87;00;00;00;00;58
245);117.816;0;018F;8;00;34;1B;00;00;3F;00;10
246);118.050;0;0260;8;05;1B;00;30;00;8C;5B;08
247);118.283;0;0329;8;D7;AF;80;8C;12;29;00;10
248);118.523;0;04F0;8;00;00;18;00;00;0A;21;0F
249);118.757;0;0545;8;D8;0F;00;8A;1B;00;1D;00
250);119.001;0;04F1;8;C0;18;00;00;00;00;00;00
251);119.263;0;0690;8;03;00;00;20;A0;00;25;00
252);119.779;0;043F;8;00;40;60;FF;7D;7C;09;00
253);120.023;0;0370;8;FF;20;00;80;FF;00;00;28
254);120.265;0;0440;8;FF;A0;00;00;FF;78;09;00
255);120.505;0;0153;8;00;80;10;FF;00;FF;30;BE
256);120.737;0;0220;8;F1;23;FD;0B;C5;21;FF;0F
257);125.343;0;04B1;8;27;64;62;9E;00;00;00;8B
258);125.591;0;0164;8;00;08;01;00;00;00;0D;04
259);126.197;0;02B0;5;2B;00;00;07;2C;-1;-1;-1
260);126.433;0;0165;8;B5;97;80;00;00;00;0C;AE
261);126.755;0;04F2;8;80;00;80;30;00;00;00;8A
262);126.986;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
263);127.220;0;0260;8;05;1B;00;30;00;8C;5B;17
264);127.454;0;0080;8;00;17;C8;09;1A;17;1B;39
265);127.696;0;0081;8;80;84;87;00;00;00;00;49
266);127.938;0;018F;8;00;34;1B;00;00;3F;00;10
267);128.169;0;0316;8;05;1A;C8;09;1B;17;00;7F
268);128.401;0;0329;8;D7;AF;80;8C;12;29;00;10
269);128.647;0;0382;8;40;FE;0F;00;00;00;00;0C
270);128.881;0;0545;8;D8;0F;00;89;1B;00;1D;00
271);129.763;0;043F;8;00;40;60;FF;7D;7C;09;00
272);130.003;0;0370;8;FF;20;00;80;FF;00;00;EC
273);130.249;0;0440;8;FF;F0;00;00;FF;7C;09;00
274);130.487;0;0153;8;00;80;10;FF;00;FF;40;CE
275);130.735;0;01F1;8;00;BD;00;00;00;00;00;00
276);130.964;0;0220;8;EC;2B;FA;1B;C5;21;FF;0F
277);132.997;0;0350;8;05;28;54;54;68;00;00;45
278);133.239;0;0110;8;D0;3C;40;09;00;00;00;00
279);135.383;0;04B0;8;00;80;00;C0;00;40;00;80
280);135.629;0;0164;8;00;08;01;00;00;00;0E;07
281);136.242;0;02B0;5;2C;00;00;07;4D;-1;-1;-1
282);136.478;0;0165;8;B7;A7;80;00;00;00;0D;9D
283);136.816;0;04F0;8;00;00;1A;00;00;0A;21;0F
284);137.080;0;0316;8;05;1B;C8;09;1B;17;00;7F
285);137.314;0;0260;8;05;1B;00;30;00;8C;5D;24
286);137.544;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
287);137.781;0;0080;8;00;17;C8;09;1B;17;1B;1A
288);138.019;0;0081;8;80;84;87;00;00;00;00;3A
289);138.261;0;018F;8;00;34;1B;00;00;3F;00;10
290);138.493;0;0329;8;D7;AF;80;8C;12;29;00;10
