No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
50862);24366.971;0;0165;8;C1;87;80;00;00;00;04;C2
50863);24367.157;0;02B0;5;2C;00;00;07;D4;-1;-1;-1
50864);24367.397;0;04F2;8;80;00;A0;30;00;00;00;C6
50865);24367.630;0;0545;8;D8;12;00;8A;8D;00;8D;00
50866);24368.590;0;043F;8;07;47;60;FF;7D;00;00;00
50867);24368.834;0;0370;8;FF;20;E0;80;FF;00;00;0C
50868);24369.078;0;0440;8;FF;3E;00;00;FF;00;00;00
50869);24369.318;0;0153;8;00;80;10;FF;00;FF;D0;5E
50870);24369.566;0;01F1;8;00;BD;00;00;00;00;00;00
50871);24369.798;0;0220;8;F4;2B;F4;03;AC;31;01;10
50872);24374.216;0;04B0;8;00;80;00;80;00;40;00;80
50873);24374.464;0;0164;8;00;08;01;00;00;00;06;0F
50874);24374.694;0;0316;8;05;24;C6;09;23;13;00;7F
50875);24374.924;0;0329;8;D7;B3;80;8C;12;2C;00;10
50876);24375.160;0;0080;8;00;17;C6;09;24;13;23;C2
50877);24375.401;0;0081;8;80;84;87;00;00;00;00;B2
50878);24375.641;0;018F;8;00;34;23;00;00;3F;00;10
50879);24375.875;0;0260;8;05;23;00;30;00;8C;61;26
50880);24376.105;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
50881);24376.345;0;04F0;8;00;00;92;00;00;0A;21;0F
50882);24376.582;0;0545;8;D8;12;00;8A;8C;00;8C;00
50883);24376.724;0;05F0;2;00;00;-1;-1;-1;-1;-1;-1
50884);24376.966;0;0165;8;C1;87;80;00;00;00;05;C3
50885);24377.150;0;02B0;5;2A;00;00;07;A5;-1;-1;-1
50886);24378.598;0;043F;8;07;47;60;FF;7D;00;00;00
50887);24378.844;0;0370;8;FF;20;E0;80;FF;00;00;C0
50888);24379.088;0;0440;8;FF;4E;00;00;FF;00;00;00
50889);24379.328;0;0153;8;00;80;10;FF;00;FF;E0;6E
50890);24379.559;0;0220;8;F2;33;F9;13;AC;21;FF;0F
50891);24383.060;0;02C0;8;3D;00;00;00;00;00;00;00
50892);24383.235;0;0120;4;00;00;00;00;-1;-1;-1;-1
50893);24383.527;0;0517;8;40;00;00;00;00;00;00;00
50894);24384.177;0;04B1;8;27;64;62;9E;00;00;00;8B
50895);24384.421;0;0164;8;00;08;01;00;00;00;07;0E
50896);24384.681;0;0316;8;05;24;C6;09;23;13;00;7F
50897);24384.915;0;0260;8;05;23;00;30;00;8C;61;35
50898);24385.151;0;0080;8;00;17;C6;09;24;13;23;B3
50899);24385.394;0;0081;8;80;84;87;00;00;00;00;A3
50900);24385.634;0;018F;8;00;34;23;00;00;3F;00;10
50901);24385.866;0;02A0;8;62;00;87;9D;C0;2E;36;0C
50902);24386.102;0;0329;8;0F;B3;80;8C;12;2C;00;10
50903);24386.338;0;0350;8;05;28;24;54;6A;00;00;37
50904);24386.587;0;0382;8;40;FE;0F;00;00;00;00;00
50905);24386.773;0;02B0;5;2E;00;00;07;D6;-1;-1;-1
50906);24387.009;0;0165;8;C2;87;80;00;00;00;06;C3
50907);24387.249;0;04F2;8;80;00;B0;30;00;00;00;C7
50908);24387.483;0;0545;8;D8;12;00;8B;8C;00;8C;00
50909);24388.621;0;043F;8;07;47;60;FF;7D;00;00;00
50910);24388.861;0;0370;8;FF;20;E0;80;FF;00;00;84
50911);24389.105;0;0440;8;FF;9E;00;00;FF;00;00;00
50912);24389.343;0;0153;8;00;80;10;FF;00;FF;00;8E
50913);24389.592;0;01F1;8;00;BD;00;00;00;00;00;00
50914);24389.828;0;0220;8;EF;3B;00;24;AC;01;FF;0F
50915);24393.318;0;0510;8;00;00;00;00;00;10;00;00
50916);24394.212;0;04B0;8;00;C0;00;80;00;40;00;80
50917);24394.460;0;0164;8;00;08;01;00;00;00;08;01
50918);24395.062;0;04F0;8;00;00;94;00;00;0A;21;0F
50919);24395.294;0;02A0;8;02;00;87;9D;C0;2E;36;0C
50920);24395.533;0;0260;8;05;24;00;30;00;8C;63;05
50921);24395.773;0;0080;8;00;17;D8;09;24;13;24;64
50922);24396.011;0;0081;8;80;84;87;00;00;00;00;94
50923);24396.253;0;018F;8;00;34;24;00;00;3F;00;10
50924);24396.485;0;0316;8;05;24;D8;09;24;13;00;7F
50925);24396.721;0;0329;8;0F;B3;80;8C;12;2C;00;10
50926);24396.964;0;0165;8;C1;97;80;00;00;00;07;D1
50927);24397.150;0;02B0;5;2D;00;00;07;F7;-1;-1;-1
50928);24397.380;0;0545;8;D8;12;00;8B;92;00;91;00
50929);24397.626;0;0587;8;00;00;00;00;00;00;00;04
50930);24398.600;0;043F;8;07;47;60;FF;7D;00;00;00
50931);24398.841;0;0370;8;FF;20;E0;80;FF;00;00;48
50932);24399.085;0;0440;8;FF;EE;00;00;FF;00;00;00
50933);24399.323;0;0153;8;00;80;10;FF;00;FF;10;9E
50934);24399.559;0;0220;8;EF;03;00;2C;AC;01;FF;0F
50935);24404.177;0;04B1;8;27;64;62;9E;00;00;00;8B
50936);24404.423;0;0164;8;00;08;01;00;00;00;09;00
50937);24404.825;0;0350;8;05;28;34;54;6A;00;00;27
50938);24405.055;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
50939);24405.289;0;0260;8;05;24;00;30;00;8C;63;14
50940);24405.525;0;0080;8;00;17;D8;09;24;13;24;55
50941);24405.766;0;0081;8;80;84;87;00;00;00;00;85
50942);24406.008;0;018F;8;00;34;24;00;00;3F;00;10
50943);24406.240;0;0316;8;05;24;D8;09;24;13;00;7F
50944);24406.476;0;0329;8;0F;B3;80;8C;12;2C;00;10
50945);24406.722;0;0382;8;40;FE;0F;00;00;00;00;04
50946);24406.965;0;0165;8;C0;97;80;00;00;00;08;DF
50947);24407.149;0;02B0;5;2A;00;00;07;78;-1;-1;-1
50948);24407.391;0;04F2;8;80;00;B0;30;00;00;00;C8
50949);24407.623;0;0545;8;D8;12;00;8A;92;00;91;00
50950);24408.579;0;043F;8;07;47;60;FF;7D;00;00;00
50951);24408.823;0;0370;8;FF;20;E0;80;FF;00;00;0C
50952);24409.067;0;0440;8;FF;3E;00;00;FF;00;00;00
50953);24409.307;0;0153;8;00;80;10;FF;00;FF;20;AE
50954);24409.556;0;01F1;8;00;BD;00;00;00;00;00;00
50955);24409.784;0;0220;8;EF;0B;FC;3B;AC;21;FF;0F
50956);24410.028;0;059B;8;00;07;00;00;00;00;00;DC
50957);24414.214;0;04B0;8;00;00;00;C0;00;40;00;80
50958);24414.462;0;0164;8;00;08;01;00;00;00;0A;03
50959);24414.694;0;0316;8;05;24;E0;09;24;13;00;7F
50960);24414.930;0;0080;8;00;17;E0;09;24;13;24;B6
50961);24415.168;0;0081;8;80;84;87;00;00;00;00;76
50962);24415.410;0;018F;8;00;34;24;00;00;3F;00;10
50963);24415.645;0;0260;8;05;24;00;30;00;8C;63;23
50964);24415.875;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
50965);24416.111;0;0329;8;0F;B3;80;8C;12;2C;00;10
50966);24416.353;0;04F0;8;00;00;96;00;00;0A;21;0F
50967);24416.585;0;0545;8;D8;12;00;8B;93;00;92;00
50968);24416.829;0;04F1;8;C0;18;00;00;00;00;00;00
50969);24417.068;0;0165;8;BF;A7;80;00;00;00;09;91
50970);24417.255;0;02B0;5;2B;00;00;07;79;-1;-1;-1
50971);24417.501;0;051A;8;00;05;00;00;00;00;00;00
50972);24417.655;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
50973);24417.897;0;0690;8;03;00;00;20;A0;00;31;00
50974);24418.639;0;043F;8;07;47;60;FF;7D;00;00;00
50975);24418.885;0;0370;8;FF;20;E0;80;FF;00;00;C0
50976);24419.130;0;0440;8;FF;4E;00;00;FF;00;00;00
50977);24419.370;0;0153;8;00;80;10;FF;00;FF;30;BE
50978);24419.606;0;0220;8;F0;13;FF;2B;AC;31;02;10
50979);24424.176;0;04B1;8;27;64;62;9E;00;00;00;8B
50980);24424.422;0;0164;8;00;08;01;00;00;00;0B;02
50981);24424.796;0;0316;8;05;24;E0;09;24;13;00;7F
50982);24425.032;0;0260;8;05;24;00;30;00;8C;63;32
50983);24425.264;0;02A0;8;62;00;87;9D;C0;2E;36;0C
50984);24425.500;0;0080;8;00;17;E0;09;24;13;24;A7
50985);24425.741;0;0081;8;80;84;87;00;00;00;00;67
50986);24425.983;0;018F;8;00;34;24;00;00;3F;00;10
50987);24426.219;0;0329;8;0F;B3;80;8C;12;2C;00;10
50988);24426.453;0;0350;8;05;28;44;54;6A;00;00;57
50989);24426.699;0;0382;8;40;FE;0F;00;00;00;00;08
50990);24426.939;0;04F2;8;80;00;B0;30;00;00;00;C9
50991);24427.178;0;0165;8;BF;97;80;00;00;00;0A;A2
50992);24427.362;0;02B0;5;2D;00;00;07;2A;-1;-1;-1
50993);24427.594;0;0545;8;D8;12;00;8C;93;00;92;00
50994);24428.636;0;043F;8;07;47;60;FF;7D;00;00;00
50995);24428.876;0;0370;8;FF;20;E0;80;FF;00;00;84
50996);24429.120;0;0440;8;FF;9E;00;00;FF;00;00;00
50997);24429.358;0;0153;8;00;80;10;FF;00;FF;40;CE
50998);24429.607;0;01F1;8;00;BD;00;00;00;00;00;00
50999);24429.835;0;0220;8;F1;1B;07;3C;AC;21;02;10
51000);24433.295;0;0110;8;D0;3C;40;09;00;00;00;00
51001);24434.213;0;04B0;8;00;40;00;C0;00;40;00;80
51002);24434.459;0;0164;8;00;08;01;00;00;00;0C;05
51003);24434.869;0;0316;8;05;24;E0;09;24;13;00;7F
51004);24435.107;0;0260;8;05;24;00;30;00;8C;63;05
51005);24435.350;0;018F;8;00;34;24;00;00;3F;00;10
51006);24435.586;0;0080;8;00;17;E0;09;24;13;24;98
51007);24435.824;0;0081;8;80;84;87;00;00;00;00;58
51008);24436.056;0;02A0;8;02;00;87;9D;C0;2E;36;0C
51009);24436.292;0;0329;8;0F;B3;80;8C;12;2C;00;10
51010);24436.534;0;04F0;8;00;00;98;00;00;0A;21;0F
51011);24436.767;0;0545;8;D8;12;00;8C;92;00;91;00
51012);24437.005;0;0165;8;BF;97;80;00;00;00;0B;A3
51013);24437.191;0;02B0;5;2C;00;00;07;2B;-1;-1;-1
51014);24438.599;0;043F;8;07;47;60;FF;7D;00;00;00
51015);24438.839;0;0370;8;FF;20;E0;80;FF;00;00;48
51016);24439.083;0;0440;8;FF;EE;00;00;FF;00;00;00
51017);24439.323;0;0153;8;00;80;10;FF;00;FF;50;DE
51018);24439.552;0;0220;8;F2;23;09;0C;AC;21;02;10
51019);24443.210;0;0050;4;00;83;00;00;-1;-1;-1;-1
51020);24444.174;0;04B1;8;27;64;62;9E;00;00;00;8B
51021);24444.422;0;0164;8;00;08;01;00;00;00;0D;04
51022);24444.812;0;0350;8;05;28;54;54;6A;00;00;47
51023);24445.048;0;0316;8;05;24;CA;09;24;13;00;7F
51024);24445.282;0;0260;8;05;24;00;30;00;8C;61;16
51025);24445.524;0;0080;8;00;17;CA;09;24;13;24;09
51026);24445.767;0;0081;8;80;84;87;00;00;00;00;49
51027);24446.009;0;018F;8;00;34;24;00;00;3F;00;10
51028);24446.239;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
51029);24446.473;0;0329;8;40;B3;80;8C;12;2C;00;10
51030);24446.719;0;0382;8;40;FE;0F;00;00;00;00;0C
51031);24446.958;0;0165;8;BF;97;80;00;00;00;0C;A4
51032);24447.196;0;00A0;8;55;7F;D8;09;00;22;00;02
51033);24447.436;0;00A1;8;7F;8C;80;80;2C;00;00;00
51034);24447.622;0;02B0;5;2C;00;00;07;5C;-1;-1;-1
51035);24447.864;0;04F2;8;80;00;B0;30;00;00;00;CA
51036);24448.097;0;0545;8;D8;12;00;8B;8E;00;91;00
51037);24448.633;0;043F;8;07;47;60;FF;7D;00;00;00
51038);24448.877;0;0370;8;FF;20;E0;80;FF;00;00;0C
51039);24449.121;0;0440;8;FF;3E;00;00;FF;00;00;00
51040);24449.359;0;0153;8;00;80;10;FF;00;FF;60;EE
51041);24449.607;0;01F1;8;00;BD;00;00;00;00;00;00
51042);24449.839;0;0220;8;F3;2B;00;1C;AC;21;02;10
51043);24453.289;0;0018;8;20;00;01;60;01;00;20;00
51044);24454.215;0;04B0;8;00;80;00;C0;00;40;00;80
51045);24454.462;0;0164;8;00;08;01;00;00;00;0E;07
51046);24455.058;0;0316;8;05;24;CA;09;24;13;00;7F
51047);24455.296;0;0080;8;00;17;CA;09;24;13;24;FA
51048);24455.534;0;0081;8;80;84;87;00;00;00;00;3A
51049);24455.776;0;018F;8;00;34;24;00;00;3F;00;10
51050);24456.014;0;0260;8;05;24;00;30;00;8C;61;25
51051);24456.245;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
51052);24456.479;0;0329;8;40;B3;80;8C;12;2C;00;10
51053);24456.719;0;04F0;8;00;00;9A;00;00;0A;21;0F
51054);24456.903;0;02B0;5;2C;00;00;07;4D;-1;-1;-1
51055);24457.141;0;0165;8;C0;87;80;00;00;00;0D;CA
51056);24457.375;0;0545;8;D8;10;00;8A;8F;00;92;00
51057);24458.595;0;043F;8;07;47;60;FF;7D;00;00;00
51058);24458.842;0;0370;8;FF;20;E0;80;FF;00;00;C0
51059);24459.086;0;0440;8;FF;4E;00;00;FF;00;00;00
51060);24459.326;0;0153;8;00;80;10;FF;00;FF;70;FE
51061);24459.558;0;0220;8;F3;33;F6;2B;AC;31;02;10
51062);24464.174;0;04B1;8;27;64;62;9E;00;00;00;8B
51063);24464.420;0;0164;8;00;08;01;00;00;00;0F;06
51064);24464.730;0;0316;8;05;24;C4;09;24;13;00;7F
51065);24464.968;0;0260;8;05;24;00;30;00;8C;61;34
51066);24465.200;0;02A0;8;62;00;87;9D;C0;2E;36;0C
51067);24465.436;0;0080;8;00;17;C4;09;24;13;24;4B
51068);24465.677;0;0081;8;80;84;87;00;00;00;00;2B
51069);24465.919;0;018F;8;00;34;24;00;00;3F;00;10
51070);24466.153;0;0329;8;40;B3;80;8C;12;2C;00;10
51071);24466.385;0;0350;8;05;28;64;54;6A;00;00;77
51072);24466.633;0;0382;8;40;FE;0F;00;00;00;00;00
51073);24466.872;0;0165;8;C0;97;80;00;00;00;0E;D9
51074);24467.060;0;02B0;5;2C;00;00;07;7E;-1;-1;-1
51075);24467.300;0;04F2;8;80;00;B0;30;00;00;00;CB
51076);24467.534;0;0545;8;D8;10;00;8A;8F;00;92;00
51077);24468.576;0;043F;8;07;47;60;FF;7D;00;00;00
51078);24468.816;0;0370;8;FF;20;E0;80;FF;00;00;84
51079);24469.060;0;0440;8;FF;9E;00;00;FF;00;00;00
51080);24469.302;0;0153;8;00;80;10;FF;00;FF;80;0E
51081);24469.550;0;01F1;8;00;BD;00;00;00;00;00;00
51082);24469.781;0;0220;8;F1;3B;F5;2B;AC;31;05;10
51083);24474.208;0;04B0;8;00;C0;00;C0;00;40;00;80
51084);24474.457;0;0164;8;00;08;01;00;00;00;00;09
51085);24474.845;0;0316;8;05;24;C4;09;24;13;00;7F
51086);24475.083;0;0260;8;05;24;00;30;00;8C;61;07
51087);24475.325;0;018F;8;00;34;24;00;00;3F;00;10
51088);24475.565;0;0080;8;00;17;C4;09;24;13;24;3C
51089);24475.807;0;0081;8;80;84;87;00;00;00;00;1C
51090);24476.039;0;02A0;8;02;00;87;9D;C0;2E;36;0C
51091);24476.274;0;0329;8;40;B3;80;8C;12;2C;00;10
51092);24476.515;0;04F0;8;00;00;9C;00;00;0A;21;0F
51093);24476.747;0;0545;8;D8;10;00;8A;8E;00;91;00
51094);24476.989;0;0165;8;C1;87;80;00;00;00;0F;C9
51095);24477.175;0;02B0;5;2C;00;00;07;6F;-1;-1;-1
51096);24478.642;0;043F;8;07;47;60;FF;7D;00;00;00
51097);24478.882;0;0370;8;FF;20;E0;80;FF;00;00;48
51098);24479.126;0;0440;8;FF;EE;00;00;FF;00;00;00
51099);24479.364;0;0153;8;00;80;10;FF;00;FF;90;1E
51100);24479.600;0;0220;8;EE;03;FC;13;AC;01;05;10
51101);24482.778;0;02C0;8;3D;00;00;00;00;00;00;00
51102);24484.172;0;04B1;8;27;64;62;9E;00;00;00;8B
51103);24484.420;0;0164;8;00;08;01;00;00;00;01;08
51104);24484.860;0;0350;8;05;28;74;54;6A;00;00;67
51105);24485.103;0;04F2;8;80;00;C0;30;00;00;00;CC
51106);24485.335;0;0316;8;05;24;C4;09;24;13;00;7F
51107);24485.565;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
51108);24485.803;0;0080;8;00;17;C4;09;24;13;24;2D
51109);24486.043;0;0081;8;80;84;87;00;00;00;00;0D
51110);24486.286;0;018F;8;00;34;24;00;00;3F;00;10
51111);24486.520;0;0260;8;05;24;00;30;00;8C;61;16
51112);24486.754;0;0329;8;40;B3;80;8C;12;2C;00;10
51113);24486.992;0;0165;8;C2;97;80;00;00;00;00;D5
51114);24487.180;0;02B0;5;2E;00;00;07;B0;-1;-1;-1
51115);24487.427;0;0382;8;40;FE;0F;00;00;00;00;04
51116);24487.659;0;0545;8;D8;10;00;8A;8E;00;91;00
51117);24488.615;0;043F;8;07;47;60;FF;7D;00;00;00
51118);24488.859;0;0370;8;FF;20;E0;80;FF;00;00;0C
51119);24489.103;0;0440;8;FF;3E;00;00;FF;00;00;00
51120);24489.341;0;0153;8;00;80;10;FF;00;FF;A0;2E
51121);24489.589;0;01F1;8;00;BD;00;00;00;00;00;00
51122);24489.823;0;0220;8;EC;0B;FE;13;AC;01;05;10
51123);24493.311;0;0510;8;00;00;00;00;00;10;00;00
51124);24494.209;0;04B0;8;00;00;00;00;00;40;00;80
51125);24494.459;0;0164;8;00;08;01;00;00;00;02;0B
51126);24494.692;0;0316;8;05;24;E2;09;24;13;00;7F
51127);24494.926;0;0329;8;40;B3;80;8C;12;2C;00;10
51128);24495.166;0;0080;8;00;17;E2;09;24;13;24;1E
51129);24495.406;0;0081;8;80;84;87;00;00;00;00;FE
51130);24495.648;0;018F;8;00;34;24;00;00;3F;00;10
51131);24495.886;0;0260;8;05;24;00;30;00;8C;61;25
51132);24496.117;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
51133);24496.355;0;04F0;8;00;00;9E;00;00;0A;21;0F
51134);24496.589;0;0545;8;D8;10;00;8A;8F;00;92;00
51135);24496.837;0;0587;8;00;00;00;00;00;00;00;05
51136);24497.078;0;0165;8;C1;97;80;00;00;00;01;D7
51137);24497.264;0;02B0;5;2A;00;00;07;E1;-1;-1;-1
51138);24498.608;0;043F;8;07;47;60;FF;7D;00;00;00
51139);24498.854;0;0370;8;FF;20;E0;80;FF;00;00;C0
51140);24499.098;0;0440;8;FF;4E;00;00;FF;00;00;00
51141);24499.340;0;0153;8;00;80;10;FF;00;FF;B0;3E
51142);24499.580;0;0220;8;ED;13;FC;13;AC;01;05;10
51143);24504.172;0;04B1;8;27;64;62;9E;00;00;00;8B
51144);24504.420;0;0164;8;00;08;01;00;00;00;03;0A
51145);24504.726;0;0316;8;05;24;EE;09;24;13;00;7F
51146);24504.964;0;0260;8;05;24;00;30;00;8C;61;34
51147);24505.197;0;02A0;8;62;00;87;9D;C0;2E;36;0C
51148);24505.433;0;0080;8;00;17;EE;09;24;13;24;4F
51149);24505.673;0;0081;8;80;84;87;00;00;00;00;EF
51150);24505.915;0;018F;8;00;34;24;00;00;3F;00;10
51151);24506.147;0;0329;8;84;B3;80;8C;12;2C;00;10
51152);24506.381;0;0350;8;05;28;84;54;6A;00;00;97
51153);24506.628;0;0382;8;40;FE;0F;00;00;00;00;08
51154);24506.868;0;0165;8;BF;A7;80;00;00;00;02;9A
51155);24507.056;0;02B0;5;2B;00;00;07;C2;-1;-1;-1
51156);24507.298;0;04F2;8;80;00;C0;30;00;00;00;CD
51157);24507.530;0;0545;8;D8;10;00;8A;8E;00;91;00
51158);24508.600;0;043F;8;07;47;60;FF;7D;00;00;00
51159);24508.841;0;0370;8;FF;20;E0;80;FF;00;00;84
51160);24509.085;0;0440;8;FF;9E;00;00;FF;00;00;00
51161);24509.327;0;0153;8;00;80;10;FF;00;FF;C0;4E
51162);24509.575;0;01F1;8;00;BD;00;00;00;00;00;00
51163);24509.807;0;0220;8;EF;1B;FB;33;AC;01;05;10
51164);24510.055;0;059B;8;00;07;00;00;00;00;00;90
51165);24514.209;0;04B0;8;00;40;00;00;00;40;00;80
51166);24514.455;0;0164;8;00;08;01;00;00;00;04;0D
51167);24514.883;0;0316;8;05;24;EE;09;24;13;00;7F
51168);24515.121;0;0260;8;05;24;00;30;00;8C;61;07
51169);24515.364;0;018F;8;00;34;24;00;00;3F;00;10
51170);24515.602;0;0080;8;00;17;EE;09;24;13;24;30
51171);24515.842;0;0081;8;80;84;87;00;00;00;00;D0
51172);24516.074;0;02A0;8;02;00;87;9D;C0;2E;36;0C
51173);24516.306;0;0329;8;84;B3;80;8C;12;2C;00;10
51174);24516.546;0;04F0;8;00;00;A0;00;00;0A;21;0F
51175);24516.779;0;0545;8;D8;10;00;8B;8E;00;91;00
51176);24517.019;0;0165;8;BF;97;80;00;00;00;03;AB
51177);24517.207;0;02B0;5;2E;00;00;07;83;-1;-1;-1
51178);24517.451;0;04F1;8;C0;18;00;00;00;00;00;00
51179);24517.605;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
51180);24517.850;0;0690;8;03;00;00;20;A0;00;35;00
51181);24518.676;0;043F;8;07;47;60;FF;7D;00;00;00
51182);24518.916;0;0370;8;FF;20;E0;80;FF;00;00;48
51183);24519.160;0;0440;8;FF;EE;00;00;FF;00;00;00
51184);24519.400;0;0153;8;00;80;10;FF;00;FF;D0;5E
51185);24519.632;0;0220;8;F0;23;01;14;AC;21;05;10
51186);24524.170;0;04B1;8;27;64;62;9E;00;00;00;8B
51187);24524.414;0;0164;8;00;08;01;00;00;00;05;0C
51188);24524.784;0;0350;8;05;28;94;54;6A;00;00;87
51189);24525.016;0;0316;8;05;24;EE;09;24;13;00;7F
51190);24525.249;0;0329;8;84;B3;80;8C;12;2C;00;10
51191);24525.485;0;0080;8;00;17;EE;09;24;13;24;21
51192);24525.725;0;0081;8;80;84;87;00;00;00;00;C1
51193);24525.967;0;018F;8;00;34;24;00;00;3F;00;10
51194);24526.201;0;0260;8;05;24;00;30;00;8C;61;16
51195);24526.431;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
51196);24526.678;0;0382;8;40;FE;0F;00;00;00;00;0C
51197);24526.918;0;0165;8;BF;97;80;00;00;00;04;AC
51198);24527.102;0;02B0;5;2B;00;00;07;A4;-1;-1;-1
51199);24527.342;0;04F2;8;80;00;C0;30;00;00;00;CE
51200);24527.574;0;0545;8;D8;10;00;8C;8E;00;91;00
51201);24528.578;0;043F;8;07;47;60;FF;7D;00;00;00
51202);24528.823;0;0370;8;FF;20;E0;80;FF;00;00;0C
51203);24529.067;0;0440;8;FF;3E;00;00;FF;00;00;00
51204);24529.307;0;0153;8;00;80;10;FF;00;FF;E0;6E
51205);24529.555;0;01F1;8;00;BD;00;00;00;00;00;00
51206);24529.787;0;0220;8;EF;2B;08;24;AC;21;05;10
51207);24533.279;0;0110;8;D0;3C;40;09;00;00;00;00
51208);24534.207;0;04B0;8;00;80;00;00;00;40;00;80
51209);24534.455;0;0164;8;00;08;01;00;00;00;06;0F
51210);24535.088;0;04F0;8;00;00;A2;00;00;0A;21;0F
51211);24535.672;0;0316;8;05;24;EE;09;24;13;00;7F
51212);24535.915;0;018F;8;00;34;24;00;00;3F;00;10
51213);24536.153;0;0080;8;00;17;EE;09;24;13;24;12
51214);24536.393;0;0081;8;80;84;87;00;00;00;00;B2
51215);24536.631;0;0260;8;05;24;00;30;00;8C;61;25
51216);24536.862;0;02A0;8;C2;00;87;9D;C0;2E;36;0C
51217);24537.100;0;0165;8;BF;97;80;00;00;00;05;AD
51218);24537.286;0;02B0;5;2D;00;00;07;D5;-1;-1;-1
51219);24537.518;0;0329;8;84;B3;80;8C;12;2C;00;10
51220);24537.750;0;0545;8;D8;10;00;8C;8E;00;91;00
51221);24538.612;0;043F;8;07;47;60;FF;7D;00;00;00
51222);24538.859;0;0370;8;FF;20;E0;80;FF;00;00;C0
51223);24539.103;0;0440;8;FF;4E;00;00;FF;00;00;00
51224);24539.341;0;0153;8;00;80;10;FF;00;FF;00;8E
51225);24539.571;0;0220;8;F1;33;05;34;AC;21;03;10
51226);24541.013;0;00A0;8;55;7F;D8;09;00;22;00;02
51227);24541.253;0;00A1;8;7F;8C;80;80;2C;00;00;00
51228);24544.169;0;04B1;8;27;64;62;9E;00;00;00;8B
51229);24544.413;0;0164;8;00;08;01;00;00;00;07;0E
51230);24544.681;0;0316;8;05;24;CE;09;24;13;00;7F
51231);24544.923;0;018F;8;00;34;24;00;00;3F;00;10
51232);24545.162;0;0260;8;05;24;00;30;00;8C;61;34
51233);24545.398;0;0080;8;00;17;CE;09;24;13;24;23
51234);24545.640;0;0081;8;80;84;87;00;00;00;00;A3
51235);24545.872;0;02A0;8;62;00;87;9D;C0;2E;36;0C
51236);24546.104;0;0329;8;84;B3;80;8C;12;2C;00;10
51237);24546.336;0;0350;8;05;28;A4;54;6A;00;00;B7
51238);24546.585;0;0382;8;40;FE;0F;00;00;00;00;00
51239);24546.825;0;04F2;8;80;00;C0;30;00;00;00;CF
51240);24547.063;0;0165;8;BF;A7;80;00;00;00;06;9E
51241);24547.249;0;02B0;5;2D;00;00;07;E6;-1;-1;-1
51242);24547.481;0;0545;8;D8;13;00;8B;8F;00;8F;00
51243);24548.623;0;043F;8;07;47;60;FF;7D;00;00;00
51244);24548.863;0;0370;8;FF;20;E0;80;FF;00;00;84
51245);24549.107;0;0440;8;FF;9E;00;00;FF;00;00;00
51246);24549.346;0;0153;8;00;80;10;FF;00;FF;10;9E
51247);24549.594;0;01F1;8;00;BD;00;00;00;00;00;00
51248);24549.826;0;0220;8;F5;3B;FA;33;AC;31;00;10
51249);24554.210;0;04B0;8;00;C0;00;00;00;40;00;80
51250);24554.458;0;0164;8;00;08;01;00;00;00;08;01
51251);24554.862;0;0316;8;05;24;BA;09;24;13;00;7F
51252);24555.100;0;0260;8;05;24;00;30;00;8C;61;07
51253);24555.342;0;018F;8;00;34;24;00;00;3F;00;10
51254);24555.578;0;0080;8;00;17;BA;09;24;13;24;64
51255);24555.817;0;0081;8;80;84;87;00;00;00;00;94
51256);24556.049;0;02A0;8;02;00;87;9D;C0;2E;36;0C
51257);24556.281;0;0329;8;84;B3;80;8C;12;2C;00;10
51258);24556.523;0;04F0;8;00;00;A4;00;00;0A;21;0F
51259);24556.759;0;0545;8;D8;13;00;8A;90;00;90;00
51260);24557.000;0;0165;8;C0;97;80;00;00;00;07;D0
51261);24557.186;0;02B0;5;2C;00;00;07;E7;-1;-1;-1
51262);24558.576;0;043F;8;07;47;60;FF;7D;00;00;00
51263);24558.816;0;0370;8;FF;20;E0;80;FF;00;00;48
51264);24559.060;0;0440;8;FF;EE;00;00;FF;00;00;00
51265);24559.300;0;0153;8;00;80;10;FF;00;FF;20;AE
51266);24559.534;0;0220;8;F5;03;F5;2B;A9;31;04;10
51267);24564.168;0;04B1;8;27;64;62;9E;00;00;00;8B
51268);24564.414;0;0164;8;00;08;01;00;00;00;09;00
51269);24564.770;0;0350;8;05;28;B4;54;6A;00;00;A7
51270);24565.000;0;02A0;8;A2;00;87;9D;C0;2E;36;0C
51271);24565.235;0;0316;8;05;24;BA;09;24;13;00;7F
51272);24565.473;0;0080;8;00;17;BA;09;24;13;24;55
51273);24565.713;0;0081;8;80;84;87;00;00;00;00;85
51274);24565.955;0;018F;8;00;34;24;00;00;3F;00;10
51275);24566.189;0;0260;8;05;24;00;30;00;8C;61;16
51276);24566.420;0;0329;8;D7;B3;80;8C;12;2C;00;10
