No;Time_Offset;Type;ID;Data_Length;One;Two;Three;Four;Five;Six;Seven;Eight
20269);9684.993;0;0370;8;FF;20;00;80;FF;00;00;28
20270);9685.233;0;043F;8;00;40;60;FF;7B;58;09;00
20271);9685.475;0;0440;8;FF;A0;00;00;FF;60;09;00
20272);9687.345;0;0316;8;05;1A;E0;09;1A;15;00;7F
20273);9687.585;0;018F;8;00;2F;1A;00;00;3F;00;10
20274);9687.819;0;0080;8;00;17;E0;09;1A;15;1A;32
20275);9688.059;0;0081;8;40;84;88;00;00;00;00;E2
20276);9688.294;0;0260;8;05;1A;00;30;00;8C;5B;27
20277);9688.526;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
20278);9688.756;0;0329;8;D7;B2;80;8C;11;2A;00;10
20279);9688.988;0;0545;8;D8;16;00;8B;1C;00;1E;00
20280);9689.222;0;04B1;8;28;64;62;9E;00;00;00;8C
20281);9689.466;0;0164;8;00;08;01;00;00;00;05;0C
20282);9691.448;0;04F0;8;00;00;B2;00;00;0A;21;0F
20283);9691.715;0;04F1;8;C0;18;00;00;00;00;00;00
20284);9691.983;0;051A;8;00;03;00;00;00;00;00;00
20285);9692.243;0;0690;8;03;00;00;20;A0;00;09;00
20286);9694.087;0;0153;8;00;80;10;FF;00;FF;70;FE
20287);9694.329;0;0165;8;10;F8;7F;00;00;00;01;96
20288);9694.578;0;01F1;8;00;BD;00;00;00;00;00;00
20289);9694.752;0;0120;4;00;00;00;00;-1;-1;-1;-1
20290);9694.986;0;0220;8;EE;2B;FC;03;0C;30;03;10
20291);9695.170;0;02B0;5;12;00;00;07;51;-1;-1;-1
20292);9695.411;0;0370;8;FF;20;00;80;FF;00;00;EC
20293);9695.651;0;043F;8;00;40;60;FF;7B;58;09;00
20294);9695.895;0;0440;8;FF;F0;00;00;FF;5C;09;00
20295);9696.143;0;0517;8;00;00;00;00;00;00;00;00
20296);9696.387;0;059B;8;00;00;00;00;00;00;00;C4
20297);9697.461;0;0316;8;05;19;F6;09;19;15;00;7F
20298);9697.697;0;0260;8;05;19;00;30;00;8C;59;39
20299);9697.927;0;02A0;8;62;00;88;9D;C0;2E;36;0C
20300);9698.164;0;0080;8;00;17;F6;09;19;15;19;D3
20301);9698.406;0;0081;8;40;84;88;00;00;00;00;D3
20302);9698.646;0;018F;8;00;2F;19;00;00;3F;00;10
20303);9698.882;0;0329;8;0F;B2;80;8C;11;2A;00;10
20304);9699.130;0;0382;8;40;FE;0F;00;00;00;00;00
20305);9699.376;0;04B0;8;00;80;00;80;00;40;00;80
20306);9699.624;0;0164;8;00;08;01;00;00;00;06;0F
20307);9699.859;0;0545;8;D8;16;00;8B;17;00;16;00
20308);9700.377;0;04F2;8;80;00;10;30;00;00;00;D7
20309);9700.813;0;0350;8;05;20;84;54;70;00;00;85
20310);9704.089;0;0153;8;00;80;10;FF;00;FF;80;0E
20311);9704.333;0;0165;8;10;F8;7F;00;00;00;02;95
20312);9704.569;0;0220;8;EF;33;FB;03;0C;30;00;10
20313);9704.753;0;02B0;5;12;00;00;07;62;-1;-1;-1
20314);9704.995;0;0370;8;FF;20;00;80;FF;00;00;A0
20315);9705.234;0;043F;8;00;40;60;FF;7B;64;09;00
20316);9705.476;0;0440;8;FF;00;00;00;FF;70;09;00
20317);9705.729;0;0510;8;00;00;00;00;00;00;00;00
20318);9707.585;0;0316;8;05;19;0C;0A;19;15;00;7F
20319);9707.819;0;0260;8;05;19;00;30;00;8C;59;0C
20320);9708.059;0;018F;8;00;2F;19;00;00;3F;00;10
20321);9708.291;0;0080;8;00;17;0C;0A;19;15;19;44
20322);9708.532;0;0081;8;40;84;88;00;00;00;00;C4
20323);9708.764;0;02A0;8;02;00;88;9D;C0;2E;36;0C
20324);9709.000;0;0329;8;0F;B2;80;8C;11;2A;00;10
20325);9709.234;0;04B1;8;28;64;62;9E;00;00;00;8C
20326);9709.478;0;0164;8;00;08;01;00;00;00;07;0E
20327);9709.712;0;0545;8;D8;16;00;8B;17;00;16;00
20328);9710.310;0;04F0;8;00;00;B4;00;00;0A;21;0F
20329);9714.086;0;0153;8;00;80;10;FF;00;FF;90;1E
20330);9714.331;0;0165;8;0F;F8;7F;00;00;00;03;8B
20331);9714.579;0;01F1;8;00;BD;00;00;00;00;00;00
20332);9714.815;0;0220;8;EF;3B;FC;13;0C;30;00;10
20333);9714.999;0;02B0;5;13;00;00;07;63;-1;-1;-1
20334);9715.234;0;0370;8;FF;20;00;80;FF;00;00;64
20335);9715.475;0;043F;8;00;40;60;FF;7B;78;09;00
20336);9715.721;0;0440;8;FF;50;00;00;FF;8C;09;00
20337);9716.964;0;0587;8;00;00;00;00;00;00;00;00
20338);9717.530;0;0316;8;05;19;0C;0A;19;15;00;7F
20339);9717.764;0;0260;8;05;19;00;30;00;8C;59;1B
20340);9717.996;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
20341);9718.229;0;0080;8;00;17;0C;0A;19;15;19;35
20342);9718.469;0;0081;8;40;84;88;00;00;00;00;B5
20343);9718.709;0;018F;8;00;2F;19;00;00;3F;00;10
20344);9718.945;0;0329;8;0F;B2;80;8C;11;2A;00;10
20345);9719.191;0;0382;8;40;FE;0F;00;00;00;00;04
20346);9719.435;0;04B0;8;00;C0;00;80;00;40;00;80
20347);9719.675;0;00A0;8;47;7C;E0;09;00;1F;00;02
20348);9719.914;0;00A1;8;7E;8D;80;80;25;00;00;00
20349);9720.162;0;0164;8;00;08;01;00;00;00;08;01
20350);9720.402;0;04F2;8;80;00;10;30;00;00;00;D8
20351);9720.638;0;0545;8;D8;0E;00;8C;17;00;16;00
20352);9720.878;0;0350;8;05;20;94;54;70;00;00;95
20353);9724.086;0;0153;8;00;80;10;FF;00;FF;A0;2E
20354);9724.326;0;0165;8;0F;F8;7F;00;00;00;04;8C
20355);9724.565;0;0220;8;EE;03;01;3C;0C;10;01;10
20356);9724.751;0;02B0;5;11;00;00;07;34;-1;-1;-1
20357);9724.995;0;0370;8;FF;20;00;80;FF;00;00;28
20358);9725.237;0;043F;8;00;40;60;FF;7B;7C;09;00
20359);9725.479;0;0440;8;FF;A0;00;00;FF;80;09;00
20360);9727.379;0;0316;8;05;19;0C;0A;19;15;00;7F
20361);9727.619;0;018F;8;00;2F;19;00;00;3F;00;10
20362);9727.854;0;0080;8;00;17;0C;0A;19;15;19;26
20363);9728.096;0;0081;8;40;84;88;00;00;00;00;A6
20364);9728.332;0;0260;8;05;19;00;30;00;8C;59;2A
20365);9728.564;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
20366);9728.800;0;0329;8;0F;B2;80;8C;11;2A;00;10
20367);9729.034;0;0545;8;D8;0E;00;8C;16;00;15;00
20368);9729.268;0;04B1;8;28;64;62;9E;00;00;00;8C
20369);9729.515;0;0164;8;00;08;01;00;00;00;09;00
20370);9730.215;0;04F0;8;00;00;B6;00;00;0A;21;0F
20371);9734.085;0;0153;8;00;80;10;FF;00;FF;B0;3E
20372);9734.323;0;0165;8;0F;F8;7F;00;00;00;05;8D
20373);9734.571;0;01F1;8;00;BD;00;00;00;00;00;00
20374);9734.809;0;0220;8;EB;0B;05;2C;0C;10;04;10
20375);9734.995;0;02B0;5;12;00;00;07;15;-1;-1;-1
20376);9735.236;0;0370;8;FF;20;00;80;FF;00;00;EC
20377);9735.476;0;043F;8;00;40;60;FF;7B;80;09;00
20378);9735.724;0;0440;8;FF;F0;00;00;FF;88;09;00
20379);9735.878;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
20380);9738.438;0;0316;8;05;18;0C;0A;19;15;00;7F
20381);9738.674;0;0260;8;05;19;00;30;00;8C;57;3B
20382);9738.905;0;02A0;8;62;00;88;9D;C0;2E;36;0C
20383);9739.139;0;0080;8;00;17;0C;0A;18;15;19;27
20384);9739.381;0;0081;8;40;84;88;00;00;00;00;97
20385);9739.621;0;018F;8;00;2F;19;00;00;3F;00;10
20386);9739.857;0;0329;8;0F;B2;80;8C;11;2A;00;10
20387);9740.103;0;0382;8;40;FE;0F;00;00;00;00;08
20388);9740.350;0;04B0;8;00;00;00;C0;00;40;00;80
20389);9740.598;0;0164;8;00;08;01;00;00;00;0A;03
20390);9740.834;0;0545;8;D8;0E;00;8C;0C;00;15;00
20391);9741.072;0;0350;8;05;20;A4;54;70;00;00;A5
20392);9741.686;0;04F2;8;80;00;10;30;00;00;00;D9
20393);9744.084;0;0153;8;00;80;10;FF;00;FF;C0;4E
20394);9744.316;0;0220;8;EA;13;05;2C;0C;10;06;10
20395);9744.557;0;0165;8;10;F8;7F;00;00;00;06;91
20396);9744.799;0;0110;8;D0;3C;40;09;00;00;00;00
20397);9744.983;0;02B0;5;11;00;00;07;16;-1;-1;-1
20398);9745.225;0;0370;8;FF;20;00;80;FF;00;00;A0
20399);9745.465;0;043F;8;00;40;60;FF;7B;84;09;00
20400);9745.707;0;0440;8;FF;00;00;00;FF;8C;09;00
20401);9747.519;0;0316;8;05;18;0C;0A;18;15;00;7F
20402);9747.756;0;0260;8;05;18;00;30;00;8C;57;0F
20403);9747.998;0;018F;8;00;2F;18;00;00;3F;00;10
20404);9748.234;0;0080;8;00;17;0C;0A;18;15;18;28
20405);9748.474;0;0081;8;40;84;88;00;00;00;00;88
20406);9748.706;0;02A0;8;02;00;88;9D;C0;2E;36;0C
20407);9748.942;0;0329;8;0F;B2;80;8C;11;2A;00;10
20408);9749.177;0;04B1;8;28;64;62;9E;00;00;00;8C
20409);9749.423;0;0164;8;00;08;01;00;00;00;0B;02
20410);9749.655;0;0545;8;D8;0E;00;8B;0D;00;0D;00
20411);9750.289;0;04F0;8;00;00;B8;00;00;0A;21;0F
20412);9754.081;0;0153;8;00;80;10;FF;00;FF;D0;5E
20413);9754.323;0;0165;8;10;F8;7F;00;00;00;07;90
20414);9754.571;0;01F1;8;00;BD;00;00;00;00;00;00
20415);9754.744;0;0050;4;00;83;10;00;-1;-1;-1;-1
20416);9754.984;0;0220;8;EC;1B;00;1C;0C;10;08;10
20417);9755.168;0;02B0;5;13;00;00;07;27;-1;-1;-1
20418);9755.408;0;0370;8;FF;20;00;80;FF;00;00;64
20419);9755.646;0;043F;8;00;40;60;FF;7B;8C;09;00
20420);9755.888;0;0440;8;FF;50;00;00;FF;94;09;00
20421);9756.144;0;02C0;8;3D;00;00;00;00;00;00;00
20422);9757.544;0;0316;8;05;18;F8;09;18;15;00;7F
20423);9757.779;0;0260;8;05;18;00;30;00;8C;57;1E
20424);9758.011;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
20425);9758.247;0;0080;8;00;17;F8;09;18;15;18;79
20426);9758.487;0;0081;8;40;84;88;00;00;00;00;79
20427);9758.729;0;018F;8;00;2F;18;00;00;3F;00;10
20428);9758.963;0;0329;8;40;B2;80;8C;11;2A;00;10
20429);9759.210;0;0382;8;40;FE;0F;00;00;00;00;0C
20430);9759.456;0;04B0;8;00;40;00;C0;00;40;00;80
20431);9759.702;0;0164;8;00;08;01;00;00;00;0C;05
20432);9759.934;0;0545;8;D8;0E;00;8B;0D;00;0D;00
20433);9760.356;0;04F2;8;80;00;20;30;00;00;00;DA
20434);9760.782;0;0350;8;05;20;B4;54;70;00;00;B5
20435);9761.366;0;05F0;2;00;00;-1;-1;-1;-1;-1;-1
20436);9764.086;0;0153;8;00;80;10;FF;00;FF;E0;6E
20437);9764.326;0;0165;8;0F;F8;7F;00;00;00;08;80
20438);9764.561;0;0220;8;EE;23;FC;1B;0C;30;08;10
20439);9764.809;0;0018;8;20;00;01;60;01;00;20;00
20440);9764.995;0;02B0;5;15;00;00;07;B8;-1;-1;-1
20441);9765.239;0;0370;8;FF;20;00;80;FF;00;00;28
20442);9765.477;0;043F;8;00;40;60;FF;7B;94;09;00
20443);9765.720;0;0440;8;FF;A0;00;00;FF;9C;09;00
20444);9767.327;0;0316;8;05;18;F8;09;18;15;00;7F
20445);9767.570;0;018F;8;00;2F;18;00;00;3F;00;10
20446);9767.806;0;0080;8;00;17;F8;09;18;15;18;6A
20447);9768.048;0;0081;8;40;84;88;00;00;00;00;6A
20448);9768.282;0;0260;8;05;18;00;30;00;8C;57;2D
20449);9768.514;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
20450);9768.749;0;0329;8;40;B2;80;8C;11;2A;00;10
20451);9768.981;0;0545;8;D8;0E;00;8B;0D;00;0D;00
20452);9769.215;0;04B1;8;28;64;62;9E;00;00;00;8C
20453);9769.463;0;0164;8;00;08;01;00;00;00;0D;04
20454);9770.271;0;04F0;8;00;00;BA;00;00;0A;21;0F
20455);9774.077;0;0153;8;00;80;10;FF;00;FF;00;8E
20456);9774.317;0;0165;8;0F;F8;7F;00;00;00;09;81
20457);9774.566;0;01F1;8;00;BD;00;00;00;00;00;00
20458);9774.800;0;0220;8;ED;2B;FD;3B;0C;30;06;10
20459);9774.988;0;02B0;5;13;00;00;07;C9;-1;-1;-1
20460);9775.228;0;0370;8;FF;20;00;80;FF;00;00;EC
20461);9775.466;0;043F;8;00;40;60;FF;7B;94;09;00
20462);9775.712;0;0440;8;FF;F0;00;00;FF;94;09;00
20463);9777.444;0;0316;8;05;18;F8;09;18;15;00;7F
20464);9777.682;0;0260;8;05;18;00;30;00;8C;57;3C
20465);9777.913;0;02A0;8;62;00;88;9D;C0;2E;36;0C
20466);9778.152;0;0080;8;00;17;F8;09;18;15;18;5B
20467);9778.392;0;0081;8;40;84;88;00;00;00;00;5B
20468);9778.634;0;018F;8;00;2F;18;00;00;3F;00;10
20469);9778.868;0;0329;8;40;B2;80;8C;11;2A;00;10
20470);9779.116;0;0382;8;40;FE;0F;00;00;00;00;00
20471);9779.366;0;04B0;8;00;80;00;C0;00;40;00;80
20472);9779.613;0;0164;8;00;08;01;00;00;00;0E;07
20473);9779.845;0;0545;8;D8;0E;00;8B;0D;00;0D;00
20474);9780.249;0;04F2;8;80;00;20;30;00;00;00;DB
20475);9780.843;0;0350;8;05;20;C4;54;70;00;00;C5
20476);9784.077;0;0153;8;00;80;10;FF;00;FF;10;9E
20477);9784.317;0;0165;8;10;F8;7F;00;00;00;0A;9D
20478);9784.549;0;0220;8;ED;33;FD;0B;0C;30;04;10
20479);9784.736;0;02B0;5;13;00;00;07;FA;-1;-1;-1
20480);9784.978;0;0370;8;FF;20;00;80;FF;00;00;A0
20481);9785.216;0;043F;8;00;40;60;FF;7B;98;09;00
20482);9785.462;0;0440;8;FF;00;00;00;FF;9C;09;00
20483);9787.550;0;0316;8;05;18;04;0A;18;15;00;7F
20484);9787.786;0;0260;8;05;18;00;30;00;8C;57;0F
20485);9788.028;0;018F;8;00;2F;18;00;00;3F;00;10
20486);9788.264;0;0080;8;00;17;04;0A;18;15;18;6C
20487);9788.507;0;0081;8;40;84;88;00;00;00;00;4C
20488);9788.739;0;02A0;8;02;00;88;9D;C0;2E;36;0C
20489);9788.973;0;0329;8;40;B2;80;8C;11;2A;00;10
20490);9789.207;0;04B1;8;28;64;62;9E;00;00;00;8C
20491);9789.453;0;0164;8;00;08;01;00;00;00;0F;06
20492);9789.685;0;0545;8;D8;0E;00;8B;0F;00;0E;00
20493);9791.435;0;04F0;8;00;00;BC;00;00;0A;21;0F
20494);9791.701;0;04F1;8;C0;18;00;00;00;00;00;00
20495);9791.966;0;0690;8;03;00;00;20;A0;00;0D;00
20496);9794.080;0;0153;8;00;80;10;FF;00;FF;20;AE
20497);9794.320;0;0165;8;10;F8;7F;00;00;00;0B;9C
20498);9794.568;0;01F1;8;00;BD;00;00;00;00;00;00
20499);9794.798;0;0220;8;EE;3B;FA;1B;0C;30;01;10
20500);9794.987;0;02B0;5;12;00;00;07;FB;-1;-1;-1
20501);9795.227;0;0370;8;FF;20;00;80;FF;00;00;64
20502);9795.469;0;043F;8;00;40;60;FF;7B;9C;09;00
20503);9795.711;0;0440;8;FF;50;00;00;FF;A4;09;00
20504);9795.957;0;059B;8;00;00;00;00;00;00;00;88
20505);9798.001;0;0316;8;05;18;04;0A;18;15;00;7F
20506);9798.243;0;018F;8;00;2F;18;00;00;3F;00;10
20507);9798.479;0;0080;8;00;17;04;0A;18;15;18;5D
20508);9798.720;0;0081;8;40;84;88;00;00;00;00;3D
20509);9798.954;0;0260;8;05;18;00;30;00;8C;57;1E
20510);9799.186;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
20511);9799.420;0;0329;8;40;B2;80;8C;11;2A;00;10
20512);9799.666;0;0382;8;40;FE;0F;00;00;00;00;04
20513);9799.910;0;04B0;8;00;C0;00;C0;00;40;00;80
20514);9800.158;0;0164;8;00;08;01;00;00;00;00;09
20515);9800.399;0;04F2;8;80;00;20;30;00;00;00;DC
20516);9800.631;0;0545;8;D8;0E;00;8B;0F;00;0E;00
20517);9800.871;0;0350;8;05;20;D4;54;70;00;00;D5
20518);9804.085;0;0153;8;00;80;10;FF;00;FF;30;BE
20519);9804.323;0;0165;8;0F;F8;7F;00;00;00;0C;84
20520);9804.560;0;0220;8;F0;03;F7;03;0C;10;FF;0F
20521);9804.748;0;02B0;5;12;00;00;07;8C;-1;-1;-1
20522);9804.992;0;0370;8;FF;20;00;80;FF;00;00;28
20523);9805.230;0;043F;8;00;40;60;FF;7B;A0;09;00
20524);9805.472;0;0440;8;FF;A0;00;00;FF;A8;09;00
20525);9805.724;0;0510;8;00;00;00;00;00;00;00;00
20526);9807.376;0;0316;8;05;18;1A;0A;18;15;00;7F
20527);9807.619;0;018F;8;00;2F;18;00;00;3F;00;10
20528);9807.853;0;0080;8;00;17;1A;0A;18;15;18;DE
20529);9808.095;0;0081;8;40;84;88;00;00;00;00;2E
20530);9808.329;0;0260;8;05;18;00;30;00;8C;57;2D
20531);9808.561;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
20532);9808.796;0;0329;8;40;B2;80;8C;11;2A;00;10
20533);9809.032;0;0545;8;D8;0E;00;8C;0F;00;0E;00
20534);9809.266;0;04B1;8;28;64;62;9E;00;00;00;8C
20535);9809.514;0;0164;8;00;08;01;00;00;00;01;08
20536);9810.264;0;04F0;8;00;00;BE;00;00;0A;21;0F
20537);9813.220;0;00A0;8;47;7C;E0;09;00;1F;00;02
20538);9813.458;0;00A1;8;7E;8D;80;80;25;00;00;00
20539);9814.076;0;0153;8;00;80;10;FF;00;FF;40;CE
20540);9814.324;0;01F1;8;00;BD;00;00;00;00;00;00
20541);9814.565;0;0165;8;10;F8;7F;00;00;00;0D;9A
20542);9814.799;0;0220;8;F0;0B;FB;03;0C;10;FF;0F
20543);9814.983;0;02B0;5;12;00;00;07;9D;-1;-1;-1
20544);9815.223;0;0370;8;FF;20;00;80;FF;00;00;EC
20545);9815.462;0;043F;8;00;40;60;FF;7B;A8;09;00
20546);9815.706;0;0440;8;FF;F0;00;00;FF;B0;09;00
20547);9816.968;0;0587;8;00;00;00;00;00;00;00;01
20548);9817.378;0;0316;8;05;18;1A;0A;18;15;00;7F
20549);9817.620;0;018F;8;00;2F;18;00;00;3F;00;10
20550);9817.854;0;0080;8;00;17;1A;0A;18;15;18;CF
20551);9818.101;0;0081;8;40;84;88;00;00;00;00;1F
20552);9818.339;0;0260;8;05;18;00;30;00;8C;57;3C
20553);9818.569;0;02A0;8;62;00;88;9D;C0;2E;36;0C
20554);9818.799;0;0329;8;84;B2;80;8C;11;2A;00;10
20555);9819.045;0;0382;8;40;FE;0F;00;00;00;00;08
20556);9819.291;0;04B0;8;00;00;00;00;00;40;00;80
20557);9819.541;0;0164;8;00;08;01;00;00;00;02;0B
20558);9819.778;0;0545;8;D8;0F;00;8C;0F;00;0E;00
20559);9820.244;0;04F2;8;80;00;20;30;00;00;00;DD
20560);9820.632;0;0350;8;05;20;E4;54;70;00;00;E5
20561);9824.078;0;0153;8;00;80;10;FF;00;FF;50;DE
20562);9824.316;0;0165;8;0F;F8;7F;00;00;00;0E;86
20563);9824.550;0;0220;8;ED;13;02;14;0C;00;FF;0F
20564);9824.735;0;02B0;5;11;00;00;07;9E;-1;-1;-1
20565);9824.977;0;0370;8;FF;20;00;80;FF;00;00;A0
20566);9825.215;0;043F;8;00;40;60;FF;7B;AC;09;00
20567);9825.457;0;0440;8;FF;00;00;00;FF;B4;09;00
20568);9827.553;0;0316;8;05;18;1A;0A;18;15;00;7F
20569);9827.789;0;0260;8;05;18;00;30;00;8C;57;0F
20570);9828.031;0;018F;8;00;2F;18;00;00;3F;00;10
20571);9828.267;0;0080;8;00;17;1A;0A;18;15;18;B0
20572);9828.512;0;0081;8;40;84;88;00;00;00;00;00
20573);9828.744;0;02A0;8;02;00;88;9D;C0;2E;36;0C
20574);9828.974;0;0329;8;84;B2;80;8C;11;2A;00;10
20575);9829.208;0;04B1;8;28;64;62;9E;00;00;00;8C
20576);9829.456;0;0164;8;00;08;01;00;00;00;03;0A
20577);9829.690;0;0545;8;D8;0F;00;8C;0E;00;0D;00
20578);9830.246;0;04F0;8;00;00;C0;00;00;0A;21;0F
20579);9834.074;0;0153;8;00;80;10;FF;00;FF;60;EE
20580);9834.322;0;01F1;8;00;BD;00;00;00;00;00;00
20581);9834.567;0;0165;8;10;F8;7F;00;00;00;0F;98
20582);9834.807;0;0220;8;EC;1B;07;04;0C;00;FF;0F
20583);9834.995;0;02B0;5;12;00;00;07;BF;-1;-1;-1
20584);9835.235;0;0370;8;FF;20;00;80;FF;00;00;64
20585);9835.475;0;043F;8;00;40;60;FF;7B;B4;09;00
20586);9835.720;0;0440;8;FF;50;00;00;FF;C0;09;00
20587);9835.874;0;05E4;3;00;00;00;-1;-1;-1;-1;-1
20588);9837.520;0;0316;8;05;17;0E;0A;17;15;00;7F
20589);9837.754;0;0260;8;05;17;00;30;00;8C;55;11
20590);9837.986;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
20591);9838.219;0;0080;8;00;17;0E;0A;17;15;17;91
20592);9838.461;0;0081;8;40;84;88;00;00;00;00;F1
20593);9838.699;0;018F;8;00;2F;17;00;00;3F;00;10
20594);9838.929;0;0329;8;84;B2;80;8C;11;2A;00;10
20595);9839.175;0;0382;8;40;FE;0F;00;00;00;00;0C
20596);9839.421;0;04B0;8;00;40;00;00;00;40;00;80
20597);9839.667;0;0164;8;00;08;01;00;00;00;04;0D
20598);9839.907;0;0545;8;D8;0F;00;8C;06;00;08;00
20599);9840.828;0;0350;8;05;20;F4;54;70;00;00;F5
20600);9841.697;0;04F2;8;80;00;20;30;00;00;00;DE
20601);9844.083;0;0153;8;00;80;10;FF;00;FF;70;FE
20602);9844.319;0;0220;8;EF;23;05;34;0C;00;FF;0F
20603);9844.559;0;0165;8;0F;F8;7F;00;00;00;00;88
20604);9844.801;0;0110;8;D0;3C;40;09;00;00;00;00
20605);9844.987;0;02B0;5;12;00;00;07;40;-1;-1;-1
20606);9845.232;0;0370;8;FF;20;00;80;FF;00;00;28
20607);9845.472;0;043F;8;00;40;60;FF;7B;B0;09;00
20608);9845.712;0;0440;8;FF;A0;00;00;FF;B0;09;00
20609);9847.416;0;0316;8;05;17;FC;09;17;15;00;7F
20610);9847.654;0;018F;8;00;2F;17;00;00;3F;00;10
20611);9847.894;0;0080;8;00;17;FC;09;17;15;17;C2
20612);9848.134;0;0081;8;40;84;88;00;00;00;00;E2
20613);9848.370;0;0260;8;05;17;00;30;00;8C;55;20
20614);9848.603;0;02A0;8;C2;00;88;9D;C0;2E;36;0C
20615);9848.833;0;0329;8;84;B2;80;8C;11;2A;00;10
20616);9849.069;0;0545;8;D8;0F;00;8A;08;00;0A;00
20617);9849.303;0;04B1;8;28;64;62;9E;00;00;00;8C
20618);9849.547;0;0164;8;00;08;01;00;00;00;05;0C
20619);9850.227;0;04F0;8;00;00;C2;00;00;0A;21;0F
20620);9854.079;0;0153;8;00;80;10;FF;00;FF;80;0E
20621);9854.321;0;0165;8;10;E8;7F;00;00;00;01;86
20622);9854.570;0;01F1;8;00;BD;00;00;00;00;00;00
20623);9854.804;0;0220;8;F0;2B;01;34;0C;30;FF;0F
20624);9854.992;0;02B0;5;13;00;00;07;41;-1;-1;-1
20625);9855.232;0;0370;8;FF;20;00;80;FF;00;00;EC
20626);9855.472;0;043F;8;00;40;60;FF;7B;B0;09;00
20627);9855.718;0;0440;8;FF;F0;00;00;FF;B4;09;00
20628);9856.028;0;02C0;8;3D;00;00;00;00;00;00;00
20629);9857.398;0;0316;8;05;17;FC;09;17;15;00;7F
20630);9857.636;0;018F;8;00;2F;17;00;00;3F;00;10
20631);9857.875;0;0260;8;05;17;00;30;00;8C;55;3F
20632);9858.109;0;0080;8;00;17;FC;09;17;15;17;B3
20633);9858.351;0;0081;8;40;84;88;00;00;00;00;D3
20634);9858.581;0;02A0;8;62;00;88;9D;C0;2E;36;0C
20635);9858.811;0;0329;8;84;B2;80;8C;11;2A;00;10
20636);9859.060;0;0382;8;40;FE;0F;00;00;00;00;00
20637);9859.306;0;04B0;8;00;80;00;00;00;40;00;80
20638);9859.554;0;0164;8;00;08;01;00;00;00;06;0F
20639);9859.790;0;0545;8;D8;0F;00;8A;08;00;0A;00
20640);9860.274;0;04F2;8;80;00;30;30;00;00;00;DF
20641);9860.624;0;0350;8;05;20;04;54;70;00;00;05
20642);9864.074;0;0153;8;00;80;10;FF;00;FF;90;1E
20643);9864.318;0;0165;8;10;F8;7F;00;00;00;02;95
20644);9864.552;0;0220;8;F1;33;FD;33;0C;10;FF;0F
20645);9864.741;0;02B0;5;11;00;00;07;52;-1;-1;-1
20646);9864.983;0;0370;8;FF;20;00;80;FF;00;00;A0
20647);9865.223;0;043F;8;00;40;60;FF;7B;B4;09;00
20648);9865.465;0;0440;8;FF;00;00;00;FF;BC;09;00
20649);9867.537;0;0316;8;05;17;FC;09;17;15;00;7F
20650);9867.773;0;0260;8;05;17;00;30;00;8C;55;02
20651);9868.011;0;018F;8;00;2F;17;00;00;3F;00;10
20652);9868.248;0;0080;8;00;17;FC;09;17;15;17;A4
20653);9868.488;0;0081;8;40;84;88;00;00;00;00;C4
20654);9868.720;0;02A0;8;02;00;88;9D;C0;2E;36;0C
20655);9868.950;0;0329;8;84;B2;80;8C;11;2A;00;10
20656);9869.184;0;04B1;8;28;64;62;9E;00;00;00;8C
20657);9869.428;0;0164;8;00;08;01;00;00;00;07;0E
20658);9869.662;0;0545;8;D8;0F;00;8A;07;00;09;00
20659);9870.260;0;04F0;8;00;00;C4;00;00;0A;21;0F
20660);9874.074;0;0153;8;00;80;10;FF;00;FF;A0;2E
20661);9874.323;0;01F1;8;00;BD;00;00;00;00;00;00
20662);9874.561;0;0165;8;10;E8;7F;00;00;00;03;84
20663);9874.795;0;0220;8;F0;3B;FC;13;0C;10;FF;0F
20664);9874.981;0;02B0;5;14;00;00;07;13;-1;-1;-1
20665);9875.222;0;0370;8;FF;20;00;80;FF;00;00;64
20666);9875.462;0;043F;8;00;40;60;FF;7B;B0;09;00
20667);9875.708;0;0440;8;FF;50;00;00;FF;AC;09;00
20668);9878.540;0;0316;8;05;17;FC;09;17;15;00;7F
20669);9878.776;0;0260;8;05;17;00;30;00;8C;53;13
20670);9879.008;0;02A0;8;A2;00;88;9D;C0;2E;36;0C
20671);9879.244;0;0080;8;00;17;FC;09;17;15;17;95
20672);9879.484;0;0081;8;40;84;88;00;00;00;00;B5
20673);9879.722;0;018F;8;00;2F;17;00;00;3F;00;10
20674);9879.953;0;0329;8;D7;B2;80;8C;11;2A;00;10
20675);9880.199;0;0382;8;40;FE;0F;00;00;00;00;04
20676);9880.447;0;04B0;8;00;C0;00;00;00;40;00;80
20677);9880.695;0;0164;8;00;08;01;00;00;00;08;01
20678);9880.931;0;0350;8;05;20;14;54;70;00;00;15
20679);9881.175;0;04F2;8;80;00;30;30;00;00;00;E0
20680);9881.413;0;0545;8;D8;0F;00;8A;02;00;09;00
20681);9884.081;0;0153;8;00;80;10;FF;00;FF;B0;3E
